年/月/日,時:分:秒,m7033 Input Register 0(Temp 1),m7033 Input Register 1,m7033 Input Register 2,power_meter Holding Register 31(kW),power_meter Holding Register 42(Voltage),power_meter Holding Register 43(Ampere),pm-3133 Input Register 4352,pm-3133 Input Register 4353,pm-3133 Input Register 4354,pm-3133 Input Register 4355,pm-3133 Input Register 4356,pm-3133 Input Register 4357,pm-3133 Input Register 4358,pm-3133 Input Register 4359,pm-3133 Input Register 4360,pm-3133 Input Register 4361,pm-3133 Input Register 4362,pm-3133 Input Register 4363,pm-3133 Input Register 4364,pm-3133 Input Register 4365,pm-3133 Input Register 4366,pm-3133 Input Register 4367,pm-3133 Input Register 4368,pm-3133 Input Register 4369,pm-3133 Input Register 4370,pm-3133 Input Register 4371,pm-3133 Input Register 4372,pm-3133 Input Register 4373,pm-3133 Input Register 4374,pm-3133 Input Register 4375,pm-3133 Input Register 4376,pm-3133 Input Register 4377,pm-3133 Input Register 4378,JDAPW Holding Register 7(w/m2),,模式
2018/06/19,14:00:00,8853,-32768,-32768,200,200.600,1,32038,17114,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,-31102,17244,0,0,0,0,0,0,0,110,,Period
2018/06/19,14:05:00,8811,-32768,-32768,200,200.500,1,16220,17114,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,18155,17244,0,0,0,0,0,0,0,82,,Period
2018/06/19,14:10:00,8530,-32768,-32768,0,200.500,0,-118,17113,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,1626,17244,0,0,0,0,0,0,0,57,,Period
2018/06/19,14:15:00,8474,-32768,-32768,200,200.500,1,13379,17114,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,15675,17244,0,0,0,0,0,0,0,70,,Period
2018/06/19,14:20:00,8587,-32768,-32768,200,200.500,1,16623,17114,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,18404,17244,0,0,0,0,0,0,0,83,,Period
2018/06/19,14:25:00,8551,-32768,-32768,200,200.500,1,17712,17114,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,20029,17244,0,0,0,0,0,0,0,73,,Period
2018/06/19,14:30:00,8737,-32768,-32768,200,200.600,1,31540,17114,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,-32075,17244,0,0,0,0,0,0,0,116,,Period
2018/06/19,14:35:00,8877,-32768,-32768,200,200.500,1,30167,17114,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,32144,17244,0,0,0,0,0,0,0,82,,Period
2018/06/19,14:40:00,8853,-32768,-32768,200,200.500,1,12763,17114,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,14927,17244,0,0,0,0,0,0,0,84,,Period
